2023-06-10 00:41:46 [restartedMain] INFO  : HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: 10.0
2023-06-10 00:41:46 [restartedMain] INFO  : HHH000021: Bytecode provider name : bytebuddy
2023-06-10 00:41:46 [restartedMain] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-10 00:41:46 [restartedMain] INFO  : HikariPool-20 - Starting...
2023-06-10 00:41:46 [restartedMain] INFO  : HikariPool-20 - Added connection org.postgresql.jdbc.PgConnection@462b7c73
2023-06-10 00:41:46 [restartedMain] INFO  : HikariPool-20 - Start completed.
2023-06-10 00:41:46 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:41:46 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:41:46 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:41:46 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:41:46 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:41:46 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:41:46 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
